occurrence_id,source_type,ADM0_NAME,ISO_code,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,Location_name,lat,long,Geo_reliability,max_year,N_positive,higher_taxon,lower_taxon,Sample_type,PCR_Test,ER_result,KR_result,IS2404_result,16SrRNAresults,16S_23S ITS,IS2606_result,VNTR_MIRU_result_MU,VNTR_result_MPM,qPCR_confirmed,other tests,other results,MU_confirmed,Record_number
BU_env_BEN_68,LIT,Benin,BEN,Atlantique,BEN.3_1,Ze,BEN.3.8_1,Agbahounsou,6.685028,2.393486,2,2018,1,,Duck,terrestrial vertebrate- clinical,"IS2404, IS2606 + KR",,negative,positive,,,negative,,,yes,,,yes,6216
BU_env_BJ_153,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Djebadji,6.32296,2.080108,2,2012,5,estimated from map in paper,,aquatic non-animal,ER + IS2404,negative,,positive,,,,,,,,,no,7073
BU_env_BJ_154,LIT,Benin,BEN,Kouffo,BEN.7_1,Lalo,BEN.7.5_1,WoTogoudo,6.867295077,2.383683184,2,2012,2,estimated from map in paper,,aquatic non-animal,ER + IS2404,negative,,positive,,,,,,,,,no,7073
BU_env_BJ_155,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Tangnigbadji,6.763074685,2.255192289,2,2012,1,estimated from map in paper,,aquatic non-animal,ER + IS2404,negative,,positive,,,,,,,,,no,7073
BU_env_BJ_155,LIT,Benin,BEN,Mono,BEN.9_1,Houéyogbé,BEN.9.5_1,Yamounto,6.880858005,2.008204237,2,2012,12,,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,yes,,,yes,7073
BU_env_BJ_156,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Vekky Daho,6.48144168,2.419041974,2,2012,4,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,,,,no,7073
BU_env_BJ_156,LIT,Benin,BEN,Mono,BEN.9_1,,,Zounhomne,6.5321242,1.737326396,2,2012,7,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,,,,no,7073
BU_env_BJ_157,LIT,Benin,BEN,Atlantique,BEN.3_1,Zè,BEN.3.8_1,Kento Augue,6.547828642,2.42475268,2,2012,5,estimated from map in paper,,aquatic non-animal,ER + IS2404,negative,,positive,,,,,,,,,no,7073
BU_env_BJ_157,LIT,Benin,BEN,Mono,BEN.9_1,,,Se,6.473589459,1.792291945,2,2012,2,estimated from map in paper,,aquatic non-animal,ER + IS2404,negative,,positive,,,,,,,,,no,7073
BU_env_BJ_158,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Ahomey-Hounmey,6.563533085,2.402623693,2,2012,11,estimated from map in paper,,aquatic non-animal,ER + IS2404,negative,,positive,,,,,,,,,no,7073
BU_env_BJ_158,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Djigbe Gbodje,6.867295077,2.360840358,2,2012,2,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,,,,no,7073
BU_env_BJ_159,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Akpome,6.775923774,2.429368835,2,2012,8,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,no,,,no,7073
BU_env_BJ_159,LIT,Benin,BEN,Kouffo,BEN.7_1,,,Tchi-Ahomadegbe,,,,2012,5,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,,,,no,7073
BU_env_BJ_160,LIT,Benin,BEN,Atlantique,BEN.3_1,,,Ahozonnoude,6.8136599,2.37536363,2,2012,4,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,,,,no,7073
BU_env_BJ_160,LIT,Benin,BEN,Atlantique,BEN.3_1,Zè,BEN.3.8_1,Koundokpoe Center,6.750939434,2.248053906,2,2012,2,estimated from map in paper,,aquatic non-animal,ER + IS2404,positive,,positive,,,,,,,,,no,7073
